A,B,C,D,E,F,G,H,I,J,K,CMCase
0.5,2,0,2,0,0.5,0.5,0.25,0,0,0.02,0.9
2,0,2,2,0,0.5,0.5,0,0.2,0,0,0
0.5,2,2,0,0,0.5,0,0.25,0,0,0,0.6
0.5,2,2,0,2,0.5,0,0.25,0,0,0,4.1
0.5,2,2,0,0,0.5,0,0.25,0,0,0,0.85
0.5,2,2,2,0,0,0.5,0.25,0,0.05,0,1.15
0.5,0,0,0,2,0,0.5,0.25,0,0.05,0.02,3.8
0.5,2,2,2,0,0.5,0.5,0,0.2,0.05,0,1.3
0.5,2,2,2,0,0.5,0.5,0,0.2,0,0,0.15
0.5,2,0,0,2,0,0,0,0.2,0.05,0.02,4.2
0.5,0,2,2,2,0,0.5,0.25,0,0.05,0,0.72
0.5,2,0,0,0,0.5,0.5,0.25,0,0.05,0.02,1.8
0.5,2,2,2,0,0.5,0.5,0.25,0,0.05,0,0.85
0.5,1,1,1,1,0.25,0.25,0.13,0.1,0.03,0.01,7.5
2,2,0,0,0,0.5,0.5,0,0.2,0.05,0,0.15
2,0,0,2,2,0.5,0,0.25,0.2,0,0.02,0.08
0.5,0,2,0,0,0,0.5,0.25,0.2,0,0.02,0.6
0.5,2,2,0,0,0.5,0,0.25,0,0,0,1.1
0.5,0,2,0,0,0,0,0,0,0.05,0,0.3
0.5,2,2,0,2,0.5,0,0.25,0,0,0,4.1
0.5,2,0,0,0,0.5,0.5,0,0.2,0.05,0,1.15
2,0,0,2,2,0.5,0,0.25,0.2,0,0.02,0.08
0.5,2,2,2,2,0,0.5,0,0.2,0,0,3.95
0.5,2,2,2,0,0.5,0.5,0,0.2,0,0,0.15
0.5,0,2,2,0,0.5,0,0,0,0.05,0.02,3.3
0.5,2,2,0,0,0.5,0.5,0.25,0,0.05,0.02,1.1
1.25,1,2,0,1,0,0.5,0.25,0.2,0,0.02,8.85
0.5,2,2,0,2,0,0.5,0,0.2,0,0.02,4.2
2,0,0,2,0,0.5,0.5,0,0,0,0.02,0
1.25,1,2,1,1,0.25,0.5,0.13,0.1,0.05,0.01,8.85
0.5,2,0,0,0,0.5,0.5,0,0.2,0.05,0,0.85
0.5,2,2,0,2,0,0,0,0.2,0.05,0.02,4.02
0.5,2,2,2,0,0.5,0.5,0,0.2,0,0,0.15
0.5,2,2,0,2,0.5,0,0.25,0,0,0,3.8
1.25,1,2,1,1,0.25,0.25,0.13,0.1,0,0.01,8.39
0.5,2,0,0,0,0.5,0.5,0,0.2,0.05,0,1.15
0.5,0,0,0,2,0,0.5,0.25,0,0.05,0.02,3.6
2,2,2,0,0,0.5,0,0.25,0,0,0,0.09
0.5,2,2,2,0,0.5,0,0,0.2,0,0,1.15
0.5,2,0,0,0,0.5,0.5,0,0.2,0.05,0,0
0.5,0,0,2,2,0.5,0.5,0.25,0.2,0.05,0.02,8.08
2,0,2,0,2,0.5,0.5,0,0.2,0.05,0,0.05
0.5,2,0,0,0,0.5,0.5,0.25,0,0.05,0.02,3.95
0.5,2,2,0,2,0.5,0,0.25,0,0,0,4.1
